{'_id': ObjectId('5bd7cf8dbc877a065accb4d4'), 'city': '泰州', 'date': '2014-01-05', 'AQI': '140', 'grade': '轻度污染', 'PM25': '107', 'PM10': '178', 'SO2': '53', 'CO': '1.6', 'NO2': '26', 'O3_8h': '35'}
{'_id': ObjectId('5bd7cf8ebc877a065accbbb4'), 'city': '丽水', 'date': '2014-01-05', 'AQI': '165', 'grade': '中度污染', 'PM25': '126', 'PM10': '171', 'SO2': '56', 'CO': '1.2', 'NO2': '70', 'O3_8h': '68'}
{'_id': ObjectId('5bd7cf8fbc877a065accc295'), 'city': '邯郸', 'date': '2014-01-05', 'AQI': '229', 'grade': '重度污染', 'PM25': '179', 'PM10': '258', 'SO2': '140', 'CO': '3.2', 'NO2': '78', 'O3_8h': '16'}
{'_id': ObjectId('5bd7cf90bc877a065accc975'), 'city': '贵阳', 'date': '2014-01-05', 'AQI': '151', 'grade': '中度污染', 'PM25': '116', 'PM10': '162', 'SO2': '89', 'CO': '1.5', 'NO2': '65', 'O3_8h': '81'}
{'_id': ObjectId('5bd7cf92bc877a065accd5cb'), 'city': '徐州', 'date': '2014-01-05', 'AQI': '205', 'grade': '重度污染', 'PM25': '155', 'PM10': '219', 'SO2': '55', 'CO': '1.8', 'NO2': '61', 'O3_8h': '19'}
{'_id': ObjectId('5bd7cf94bc877a065acce21a'), 'city': '株洲', 'date': '2014-01-05', 'AQI': '163', 'grade': '中度污染', 'PM25': '124', 'PM10': '181', 'SO2': '69', 'CO': '1.4', 'NO2': '70', 'O3_8h': '64'}
{'_id': ObjectId('5bd7cf95bc877a065acce8fb'), 'city': '荆州', 'date': '2014-01-05', 'AQI': '250', 'grade': '重度污染', 'PM25': '200', 'PM10': '351', 'SO2': '164', 'CO': '2.1', 'NO2': '84', 'O3_8h': '85'}
{'_id': ObjectId('5bd7cf96bc877a065accefdc'), 'city': '太原', 'date': '2014-01-05', 'AQI': '87', 'grade': '良', 'PM25': '65', 'PM10': '118', 'SO2': '108', 'CO': '2.8', 'NO2': '36', 'O3_8h': '24'}
{'_id': ObjectId('5bd7cf97bc877a065accf6bd'), 'city': '濮阳', 'date': '2014-01-05', 'AQI': '234', 'grade': '重度污染', 'PM25': '184', 'PM10': '248', 'SO2': '46', 'CO': '2.5', 'NO2': '85', 'O3_8h': '31'}
{'_id': ObjectId('5bd7cf98bc877a065accfd81'), 'city': '淮安', 'date': '2014-01-05', 'AQI': '137', 'grade': '轻度污染', 'PM25': '105', 'PM10': '56', 'SO2': '20', 'CO': '1.9', 'NO2': '58', 'O3_8h': '55'}
{'_id': ObjectId('5bd7cf9abc877a065acd09d7'), 'city': '扬州', 'date': '2014-01-05', 'AQI': '162', 'grade': '中度污染', 'PM25': '124', 'PM10': '192', 'SO2': '82', 'CO': '1.4', 'NO2': '52', 'O3_8h': '24'}
{'_id': ObjectId('5bd7cf9cbc877a065acd162d'), 'city': '镇江', 'date': '2014-01-05', 'AQI': '178', 'grade': '中度污染', 'PM25': '135', 'PM10': '213', 'SO2': '45', 'CO': '1.5', 'NO2': '80', 'O3_8h': '38'}
{'_id': ObjectId('5bd7cf9ebc877a065acd2270'), 'city': '咸阳', 'date': '2014-01-05', 'AQI': '126', 'grade': '轻度污染', 'PM25': '96', 'PM10': '160', 'SO2': '94', 'CO': '2.1', 'NO2': '42', 'O3_8h': '11'}
{'_id': ObjectId('5bd7cfa2bc877a065acd3f24'), 'city': '日照', 'date': '2014-01-05', 'AQI': '104', 'grade': '轻度污染', 'PM25': '78', 'PM10': '134', 'SO2': '36', 'CO': '1.3', 'NO2': '50', 'O3_8h': '27'}
{'_id': ObjectId('5bd7cfa4bc877a065acd4b7a'), 'city': '石家庄', 'date': '2014-01-05', 'AQI': '274', 'grade': '重度污染', 'PM25': '224', 'PM10': '376', 'SO2': '150', 'CO': '3.3', 'NO2': '85', 'O3_8h': '30'}
{'_id': ObjectId('5bd7cfa5bc877a065acd5254'), 'city': '汕尾', 'date': '2014-01-05', 'AQI': '139', 'grade': '轻度污染', 'PM25': '106', 'PM10': '139', 'SO2': '28', 'CO': '1.7', 'NO2': '24', 'O3_8h': '187'}
{'_id': ObjectId('5bd7cfa6bc877a065acd5935'), 'city': '清远', 'date': '2014-01-05', 'AQI': '150', 'grade': '轻度污染', 'PM25': '115', 'PM10': '160', 'SO2': '62', 'CO': '1.8', 'NO2': '69', 'O3_8h': '126'}
{'_id': ObjectId('5bd7cfa7bc877a065acd600f'), 'city': '济宁', 'date': '2014-01-05', 'AQI': '214', 'grade': '重度污染', 'PM25': '164', 'PM10': '302', 'SO2': '174', 'CO': '2.2', 'NO2': '72', 'O3_8h': '18'}
{'_id': ObjectId('5bd7cfa8bc877a065acd66f0'), 'city': '德阳', 'date': '2014-01-05', 'AQI': '205', 'grade': '重度污染', 'PM25': '155', 'PM10': '203', 'SO2': '32', 'CO': '2.9', 'NO2': '60', 'O3_8h': '70'}
{'_id': ObjectId('5bd7cfaabc877a065acd7346'), 'city': '舟山', 'date': '2014-01-05', 'AQI': '53', 'grade': '良', 'PM25': '27', 'PM10': '55', 'SO2': '10', 'CO': '0.7', 'NO2': '26', 'O3_8h': '64'}
{'_id': ObjectId('5bd7cfabbc877a065acd7a26'), 'city': '湛江', 'date': '2014-01-05', 'AQI': '106', 'grade': '轻度污染', 'PM25': '80', 'PM10': '94', 'SO2': '37', 'CO': '1.3', 'NO2': '27', 'O3_8h': '165'}
{'_id': ObjectId('5bd7cfacbc877a065acd8104'), 'city': '三亚', 'date': '2014-01-05', 'AQI': '124', 'grade': '轻度污染', 'PM25': '94', 'PM10': '124', 'SO2': '10', 'CO': '0.9', 'NO2': '18', 'O3_8h': '174'}
{'_id': ObjectId('5bd7cfadbc877a065acd87e5'), 'city': '威海', 'date': '2014-01-05', 'AQI': '79', 'grade': '良', 'PM25': '58', 'PM10': '94', 'SO2': '45', 'CO': '1.1', 'NO2': '46', 'O3_8h': '37'}
{'_id': ObjectId('5bd7cfafbc877a065acd943a'), 'city': '邢台', 'date': '2014-01-05', 'AQI': '271', 'grade': '重度污染', 'PM25': '221', 'PM10': '382', 'SO2': '212', 'CO': '3.1', 'NO2': '105', 'O3_8h': '25'}
{'_id': ObjectId('5bd7cfb0bc877a065acd9b10'), 'city': '葫芦岛', 'date': '2014-01-05', 'AQI': '146', 'grade': '轻度污染', 'PM25': '112', 'PM10': '152', 'SO2': '113', 'CO': '2.8', 'NO2': '44', 'O3_8h': '53'}
{'_id': ObjectId('5bd7cfb1bc877a065acda1eb'), 'city': '张家口', 'date': '2014-01-05', 'AQI': '74', 'grade': '良', 'PM25': '43', 'PM10': '98', 'SO2': '93', 'CO': '1.1', 'NO2': '32', 'O3_8h': '53'}
{'_id': ObjectId('5bd7cfb2bc877a065acda8cc'), 'city': '东营', 'date': '2014-01-05', 'AQI': '155', 'grade': '中度污染', 'PM25': '118', 'PM10': '197', 'SO2': '134', 'CO': '2.1', 'NO2': '66', 'O3_8h': '33'}
{'_id': ObjectId('5bd7cfb3bc877a065acdafad'), 'city': '锦州', 'date': '2014-01-05', 'AQI': '182', 'grade': '中度污染', 'PM25': '137', 'PM10': '162', 'SO2': '102', 'CO': '1.7', 'NO2': '53', 'O3_8h': '51'}
{'_id': ObjectId('5bd7cfb4bc877a065acdb68d'), 'city': '抚顺', 'date': '2014-01-05', 'AQI': '76', 'grade': '良', 'PM25': '56', 'PM10': '76', 'SO2': '47', 'CO': '1.4', 'NO2': '37', 'O3_8h': '43'}
{'_id': ObjectId('5bd7cfb6bc877a065acdc2dd'), 'city': '宜昌', 'date': '2014-01-05', 'AQI': '283', 'grade': '重度污染', 'PM25': '233', 'PM10': '308', 'SO2': '60', 'CO': '1.7', 'NO2': '55', 'O3_8h': '49'}
{'_id': ObjectId('5bd7cfb8bc877a065acdcee5'), 'city': '宝鸡', 'date': '2014-01-05', 'AQI': '152', 'grade': '中度污染', 'PM25': '117', 'PM10': '156', 'SO2': '93', 'CO': '2.5', 'NO2': '60', 'O3_8h': '23'}
{'_id': ObjectId('5bd7cfb9bc877a065acdd5c6'), 'city': '潍坊', 'date': '2014-01-05', 'AQI': '158', 'grade': '中度污染', 'PM25': '121', 'PM10': '194', 'SO2': '119', 'CO': '2.0', 'NO2': '57', 'O3_8h': '28'}
{'_id': ObjectId('5bd7cfbcbc877a065acde791'), 'city': '长治', 'date': '2014-01-05', 'AQI': '140', 'grade': '轻度污染', 'PM25': '107', 'PM10': '173', 'SO2': '16', 'CO': '2.1', 'NO2': '61', 'O3_8h': '34'}
{'_id': ObjectId('5bd7cfbdbc877a065acdee70'), 'city': '烟台', 'date': '2014-01-05', 'AQI': '116', 'grade': '轻度污染', 'PM25': '88', 'PM10': '110', 'SO2': '64', 'CO': '1.5', 'NO2': '66', 'O3_8h': '20'}
{'_id': ObjectId('5bd7cfbebc877a065acdf551'), 'city': '肇庆', 'date': '2014-01-05', 'AQI': '167', 'grade': '中度污染', 'PM25': '127', 'PM10': '178', 'SO2': '48', 'CO': '1.5', 'NO2': '71', 'O3_8h': '112'}
{'_id': ObjectId('5bd7cfbfbc877a065acdfc32'), 'city': '衢州', 'date': '2014-01-05', 'AQI': '290', 'grade': '重度污染', 'PM25': '240', 'PM10': '265', 'SO2': '85', 'CO': '1.7', 'NO2': '81', 'O3_8h': '80'}
{'_id': ObjectId('5bd7cfc0bc877a065ace0310'), 'city': '芜湖', 'date': '2014-01-05', 'AQI': '241', 'grade': '重度污染', 'PM25': '191', 'PM10': '270', 'SO2': '45', 'CO': '2.0', 'NO2': '64', 'O3_8h': '46'}
{'_id': ObjectId('5bd7cfc2bc877a065ace0f66'), 'city': '信阳', 'date': '2014-01-05', 'AQI': '159', 'grade': '中度污染', 'PM25': '121', 'PM10': '157', 'SO2': '63', 'CO': '1.5', 'NO2': '66', 'O3_8h': '81'}
{'_id': ObjectId('5bd7cfc5bc877a065ace26a4'), 'city': '绵阳', 'date': '2014-01-05', 'AQI': '225', 'grade': '重度污染', 'PM25': '175', 'PM10': '210', 'SO2': '23', 'CO': '1.3', 'NO2': '63', 'O3_8h': '66'}
{'_id': ObjectId('5bd7cfc7bc877a065ace32f4'), 'city': '洛阳', 'date': '2014-01-05', 'AQI': '97', 'grade': '良', 'PM25': '72', 'PM10': '139', 'SO2': '61', 'CO': '3.3', 'NO2': '56', 'O3_8h': '36'}
{'_id': ObjectId('5bd7cfc8bc877a065ace39d5'), 'city': '营口', 'date': '2014-01-05', 'AQI': '96', 'grade': '良', 'PM25': '71', 'PM10': '125', 'SO2': '93', 'CO': '2.2', 'NO2': '60', 'O3_8h': '31'}
{'_id': ObjectId('5bd7cfcabc877a065ace4625'), 'city': '阳江', 'date': '2014-01-05', 'AQI': '171', 'grade': '中度污染', 'PM25': '129', 'PM10': '176', 'SO2': '35', 'CO': '1.7', 'NO2': '53', 'O3_8h': '156'}
{'_id': ObjectId('5bd7cfcbbc877a065ace4d06'), 'city': '自贡', 'date': '2014-01-05', 'AQI': '189', 'grade': '中度污染', 'PM25': '142', 'PM10': '179', 'SO2': '35', 'CO': '1.1', 'NO2': '29', 'O3_8h': '27'}
